DATE,DEUPROMANMISMEI
1960-01-01,28.7791426422662
1960-02-01,31.1857608423164
1960-03-01,31.7874153923289
1960-04-01,30.0827275006267
1960-05-01,32.0882426673352
1960-06-01,30.5841062923038
1960-07-01,31.0854850839809
1960-08-01,32.0882426673352
1960-09-01,32.0882426673352
1960-10-01,30.7846578089747
1960-11-01,32.6898972173477
1960-12-01,34.0937578340436
1961-01-01,33.1912760090248
1961-02-01,33.3918275256957
1961-03-01,34.5951366257207
1961-04-01,32.3890699423414
1961-05-01,33.0910002506894
1961-06-01,34.0937578340436
1961-07-01,32.7901729756831
1961-08-01,33.8932063173728
1961-09-01,32.8904487340185
1961-10-01,32.7901729756831
1961-11-01,33.6926548007019
1961-12-01,32.7901729756831
1962-01-01,34.2943093507145
1962-02-01,33.8932063173728
1962-03-01,34.194033592379
1962-04-01,33.4921032840311
1962-05-01,34.4948608673853
1962-06-01,34.2943093507145
1962-07-01,34.4948608673853
1962-08-01,35.9989972424166
1962-09-01,35.2970669340687
1962-10-01,34.6954123840562
1962-11-01,35.2970669340687
1962-12-01,34.0937578340436
1963-01-01,34.3945851090499
1963-02-01,33.8932063173728
1963-03-01,35.0965154173978
1963-04-01,35.4976184507395
1963-05-01,35.4976184507395
1963-06-01,35.1967911757333
1963-07-01,35.8987214840812
1963-08-01,37.0017548257709
1963-09-01,36.1995487590875
1963-10-01,36.7009275507646
1963-11-01,37.0017548257709
1963-12-01,35.5978942090749
1964-01-01,37.6034093757834
1964-02-01,38.0045124091251
1964-03-01,37.7036851341188
1964-04-01,38.1047881674605
1964-05-01,37.6034093757834
1964-06-01,38.4056154424668
1964-07-01,39.2078215091502
1964-08-01,38.8067184758085
1964-09-01,39.0072699924793
1964-10-01,39.5086487841564
1964-11-01,39.408373025821
1964-12-01,39.8094760591627
1965-01-01,40.6116821258461
1965-02-01,40.2105790925044
1965-03-01,40.4111306091752
1965-04-01,40.5114063675106
1965-05-01,40.4111306091752
1965-06-01,40.0100275758335
1965-07-01,40.2105790925044
1965-08-01,40.8122336425169
1965-09-01,41.2133366758586
1965-10-01,40.9125094008523
1965-11-01,40.5114063675106
1965-12-01,41.7147154675357
1966-01-01,41.1130609175232
1966-02-01,41.1130609175232
1966-03-01,42.3163700175482
1966-04-01,41.5141639508649
1966-05-01,41.2133366758586
1966-06-01,41.8149912258711
1966-07-01,41.4138881925294
1966-08-01,40.8122336425169
1966-09-01,41.1130609175232
1966-10-01,40.5114063675106
1966-11-01,39.7092003008273
1966-12-01,39.3080972674856
1967-01-01,39.2078215091502
1967-02-01,38.8067184758085
1967-03-01,38.8067184758085
1967-04-01,38.706442717473
1967-05-01,38.1047881674605
1967-06-01,39.0072699924793
1967-07-01,40.0100275758335
1967-08-01,39.3080972674856
1967-09-01,40.4111306091752
1967-10-01,40.7119578841815
1967-11-01,40.9125094008523
1967-12-01,42.7174730508899
1968-01-01,39.8094760591627
1968-02-01,40.6116821258461
1968-03-01,41.4138881925294
1968-04-01,41.7147154675357
1968-05-01,42.7174730508899
1968-06-01,43.3191276009025
1968-07-01,42.7174730508899
1968-08-01,45.6254700426172
1968-09-01,45.0238154926047
1968-10-01,45.2243670092755
1968-11-01,46.4276761093006
1968-12-01,46.527951867636
1969-01-01,46.8287791426423
1969-02-01,47.0293306593131
1969-03-01,47.5307094509902
1969-04-01,47.9318124843319
1969-05-01,48.433191276009
1969-06-01,48.9345700676861
1969-07-01,48.9345700676861
1969-08-01,50.338430684382
1969-09-01,49.8370518927049
1969-10-01,50.6392579593883
1969-11-01,51.04036099273
1969-12-01,50.8398094760592
1970-01-01,50.6392579593883
1970-02-01,51.4414640260717
1970-03-01,51.8425670594134
1970-04-01,52.4442216094259
1970-05-01,52.6447731260968
1970-06-01,52.1433943344196
1970-07-01,52.945600401103
1970-08-01,52.0431185760842
1970-09-01,51.8425670594134
1970-10-01,52.0431185760842
1970-11-01,51.5417397844071
1970-12-01,52.7450488844322
1971-01-01,53.0458761594384
1971-02-01,52.6447731260968
1971-03-01,52.5444973677613
1971-04-01,52.8453246427676
1971-05-01,52.1433943344196
1971-06-01,52.7450488844322
1971-07-01,53.5472549511156
1971-08-01,51.4414640260717
1971-09-01,52.4442216094259
1971-10-01,52.5444973677613
1971-11-01,51.6420155427425
1971-12-01,51.2409125094008
1972-01-01,52.6447731260968
1972-02-01,52.8453246427676
1972-03-01,53.7478064677864
1972-04-01,53.7478064677864
1972-05-01,53.5472549511156
1972-06-01,53.8480822261218
1972-07-01,54.1489095011281
1972-08-01,53.8480822261218
1972-09-01,53.647530709451
1972-10-01,54.5500125344698
1972-11-01,55.3522186011532
1972-12-01,55.0513913261469
1973-01-01,56.5555277011782
1973-02-01,57.1571822511908
1973-03-01,57.458009526197
1973-04-01,56.8563549761845
1973-05-01,57.5582852845324
1973-06-01,57.1571822511908
1973-07-01,55.2519428428178
1973-08-01,58.2602155928804
1973-09-01,57.6585610428679
1973-10-01,57.458009526197
1973-11-01,57.5582852845324
1973-12-01,57.0569064928553
1974-01-01,57.458009526197
1974-02-01,57.3577337678616
1974-03-01,56.6558034595136
1974-04-01,57.0569064928553
1974-05-01,57.6585610428679
1974-06-01,56.6558034595136
1974-07-01,56.7560792178491
1974-08-01,55.1516670844823
1974-09-01,55.0513913261469
1974-10-01,54.9511155678115
1974-11-01,54.4497367761344
1974-12-01,52.0431185760842
1975-01-01,52.2436700927551
1975-02-01,52.1433943344196
1975-03-01,51.9428428177488
1975-04-01,51.742291301078
1975-05-01,51.5417397844071
1975-06-01,51.4414640260717
